# pinax figure data — xlabel=t ylabel=x(t)
series,x,y
y1,4.13,0.23197292723583166
y1,4.14,0.2322941903926379
y1,4.15,0.23240205819636064
y1,4.16,0.23229792114711958
y1,4.17,0.23198335275696955
y1,4.18,0.23146010684297502
y1,4.19,0.2307301146752705
y1,4.2,0.22979548198371075
y1,4.21,0.22865848582681805
y1,4.22,0.22732157132683348
y1,4.23,0.2257873482747739
y1,4.24,0.22405858760948763
y1,4.25,0.2221382177747871
y1,4.26,0.2200293209588222
y1,4.27,0.21773512921993307
y1,4.28,0.21525902050329512
y1,4.29,0.21260451455274118
y1,4.3,0.20977526872220487
y1,4.31,0.20677507369129533
y1,4.32,0.20360784908956656
y1,4.33,0.2002776390340942
y1,4.34,0.19678860758502062
y1,4.35,0.19314503412377465
y1,4.36,0.189351308658702
y1,4.37,0.18541192706288548
y1,4.38,0.18133148624894746
y1,4.39,0.17711467928567443
y1,4.4,0.17276629046129166
y1,4.41,0.16829119029826525
y1,4.42,0.1636943305244832
y1,4.43,0.1589807390057067
y1,4.44,0.15415551464415758
y1,4.45,0.14922382224812197
y1,4.46,0.14419088737743072
y1,4.47,0.13906199116967183
y1,4.48,0.13384246515197754
y1,4.49,0.1285376860431937
y1,4.5,0.12315307055122875
y1,4.51,0.11769407017034586
y1,4.52,0.11216616598312493
y1,4.53,0.10657486347178811
y1,4.54,0.10092568734354133
y1,4.55,0.09522417637453526
y1,4.56,0.08947587827700197
y1,4.57,0.08368634459407946
y1,4.58,0.07786112562675918
y1,4.59,0.07200576539735203
y1,4.6,0.06612579665379546
y1,4.61,0.06022673591905491
y1,4.62,0.054314078589810584
y1,4.63,0.0483932940885288
y1,4.64,0.04246982107297287
y1,4.65,0.0365490627070827
y1,4.66,0.030636381997118958
y1,4.67,0.02473709719683123
y1,4.68,0.01885647728536618
y1,4.69,0.012999737521506285
y1,4.7,0.007172035077753799
y1,4.71,0.0013784647576681646
y1,4.72,-0.004375945200231516
y1,4.73,-0.010086237228780126
y1,4.74,-0.01574752844560289
y1,4.75,-0.021355014570665586
y1,4.76,-0.026903973745047112
y1,4.77,-0.03238977024815501
y1,4.78,-0.03780785811071183
y1,4.79,-0.043153784620954275
y1,4.8,-0.04842319372160506
y1,4.81,-0.05361182929529261
y1,4.82,-0.05871553833620203
y1,4.83,-0.06373027400588029
y1,4.84,-0.06865209857121764
y1,4.85,-0.07347718622275783
y1,4.86,-0.07820182577161236
y1,4.87,-0.08282242322336968
y1,4.88,-0.08733550422752757
y1,4.89,-0.09173771640107398
y1,4.9,-0.09602583152500153
y1,4.91,-0.10019674761262577
y1,4.92,-0.10424749084874067
y1,4.93,-0.10817521739873351
y1,4.94,-0.11197721508693095
y1,4.95,-0.1156509049435597
y1,4.96,-0.11919384261983273
y1,4.97,-0.12260371967079696
y1,4.98,-0.12587836470569097
y1,4.99,-0.1290157444057022
y1,5.0,-0.1320139644091155
